text,sentiment
discovered cause of a bug in the new netplayer build publishing bug fix now hopefully new beta by tomorrow,2
here are free twitter tool will get you follower,1
just got home from work and is changing down a big bottle of apple juice,1
yes it doe please dont go if you die i will cry which normally lead to small animal getting harmed,0
writing report card soo tired but what an amazing day check it out on fb soon,2
it wa only once for my big brother and I am done now,1
good news finally finished my yearsactive workout that ha been paused for hour bad news my resistance band is torn,1
well good morning all what a wonderful day in the neighborhood thanks for all those that are now following another this morning,2
ft and mercy mercedes were amazing tonight a always,2
hope he is ok,2
can not school just be done already it hurt too much seeing him every day,2
i waited listening to wind blowing through the tumbleweed are none of you old enough to know what to do when someone say crackerack,1
hell yeah,1
him shirt at dinner do you need to ask doe it actually have ville on it,1
i know,1
huh what the smell not i love alex dixon,1
went to a party last night didn and i showed up in matching outfit great mind think alike anyway happy birthday ate lara,2
happy b day just woke up on this side of earth so wish are bit late,2
thank you for teaching me value and to be a better person each day i love so much you are the best mum in the world,2
happy mother day,2
laugh I am glad that you have self confidence it ha it is a wonderful trait to have I shall I will applaud extra loud for it okay,2
thanks,2
wintering after day,1
getting ready for week it too nice today to be stuck inside working,2
i am tres depressed,0
felt like behaved like my son ate to compensate rigged out on home roasted sugar almond painful tum threw up still feel sick,0
happy mother day people i love my mom a lot still,2
I am sorry to hear that,0
that ha that is awesome dude yay for surprise celebrity i got to meet him a few year ago he wa soo friendly,2
it make me happy to hear a girl talk or tweet about the nba but could you give my nugget some love,2
is getting the hang of twitter,1
you know your neck is backed up when you are forced to pay for parking bc you can not turn you head to parallel park in the free space,0
i want it back now,1
going to miss my rookie we will no longer be rookie starting tomorrow,0
bathing with two little angel key and dance,1
yep finished checked full of spelling and grammatical error but I am cleaning it up tomorrow and popping it up here,0
hahahha laughing out loud true that i always remember my bd but i can never remember what date or even day it is,1
family is here hanging with them,1
watching ellen love her then doing the dish and tanning it s gorgeous out,2
what ha what is going on hun I am worried about you,0
im not banished but i am at work till,0
morning if i get to see it I shall I will let you know right now I am going to go see wolverine,1
red top tabloid build em up knock em down,1
tonight in party w my girl minus vita,2
why not now you made me sad i thought you had you would be jumping for joy,1
simple my a,1
the pic i just uploaded are the baby pic of my cat miss is now an adult and a pretty little kitty but fatty is in kitten heaven now,1
i saw the play of it here it wa amazing,2
i am glad to break my twitter virginity with you two,2
dinner with the fam i have missed them,0
live that ha that is what i want more the better bound to be a few bad egg though but they will soon learn,1
hell yeah kelly got a twitter finally,1
i know it wa worth a shot though,2
just opened a facebook account I am a little confused i do not really get it twitter seems much better,2
ship I am stuck,0
justin baby on at can not wait x,2
not going to dwell on it it happened it ha it is passed just a shame a he wa so supportive such is life x,0
it look like the office tv doe get mlb network and it look like mlb will not be television the det bal game today winter,1
home empty handed no comic found today i shall now indulge in my cupcake from mongolia bakery,1
laying in bed til work oh the life definitely pitched a nerve,0
today is a busy day exhausting,0
i wa going to go on sunday but now I have got too much going on that weekend,1
sorry to hear you re flight got cancelled that blow,0
oh my tooth is hurt oh im sad it very hurt,0
before i get too distracted I had I would like to thank my new follower for taking the trouble to follow me and to my others feeling the love,2
you think you have bill ha ii joyous finished paying mine that ha that is y I am broke,0
not syoyou ree it did not say it wa big i st saw the pic of you on you re last birthday you looked so pretty i miss you,1
sore throat planning the tet outing to maxwell though good time,1
fly gig last night oh my josh it wa amazon did not sit down through the whole thing fly did you see me and ma best mate we were in status,2
day without sleep and now a migraine i thought life post wa meant to be relaxing,0
there,1
suck,0
when the sway sway winner announced,1
k will check it out,1
doing pretty well up and wide awake,2
i want to wake up early and get a coffee tomorrow today it ha it is going to be a busy day but have to keep writing boo who,1
i miss daddy and tommy,0
my dog is officially depressed that my brother s dog are gone he doe not want to go outside and when we did he play half hearted,0
i just realized that i can not forward text msg with my iphone,1
my first post off to find a new car for my parent exciting,2
arch not missed the killer on loss that suck missed out on brandon total failure anyone know if it ha it is repeated must investigate,0
seriously bored without anyone to talk to but not tired enough for sleep,0
i am lost please help me find a good home,0
it ha it is a peter gordon morning and i go to piece and i wan na hide go to piece and i almost die ever,1
ok so I have now got a bit of a bad back after lifting all drum hardware into my car owner,0
laugh my a off smh that one threw me off,1
oh nice going,2
is getting ready for work working all weekend,1
going to celebrate mother day with the family but going to start the partying tone,2
i agree with you,2
i only do computer am hopeless at everything else,0
degree gross sky and thunderstorm perfect match for my mood laughing out loud,2
nd www thanks,2
sorry rb is on p for me,0
i saw amazing heel but they were too big,1
i just stuck my finger down my throat and there are a bunch of bump on my tongue throat,0
dang last url went down,0
ooh i missed all you re tweet im going to have to stay awake all night to see the announcement now time difference,0
admit all that suck you were one of the one i thought I had I would drag back laughing out loud,0
my bos she ha she is moving to nyc,1
this is soo crazy i have fever,0
is spending her saturday morning taking note for a research essay because some stupid recalled the book I am using not fair,0
i think i need some new friend,1
looking forward to your gig in ireland see ya there,1
please review sunehre ad placement,2
www you love me,2
is hungry twitter i want food,1
awesome lucky you,2
yea i should know but tell me everything p send me direct message telling haha,1
haha im jewish i love that one,2
had a great time out in the beer garden wit the boy i think the sun got to me a bit though feel a bit ill,1
l m on day too matt no fun this weekend,0
yoyoyoyou really do not think so maybe yoyoyoyoyou re right laughing out loud by the way what phone yoyoyoyou yoyoyoyousing think yoyoyoyou told me before i might have an app for yoyoyoyou,1
i feel your pain mine is the same way,0
come home in two day,1
sadly no it did not come with one,0
cant wait to see my boy tomorrow,2
eh no just a check up i have a dentist app next week though getting my molar pulled root canal,1
www i miss driving down plywood,0
oh my josh tango tango wa awesome i love my baby for taking me,2
version of our live interactive trans nigerian ticket planner is launched it very cool,2
i really wish i could go,2
yeah real hard but i know you shall you will get by with it smile,1
I am in december that ha that is not good at all next big birthday is after it fly by for sure,0
this ha made my night way too funny,2
woo cap happy mother s day,2
i make that same face when i get home and your mom is watching soap,1
i have to go to work now,1
i can not believe you went and got bob without me,1
and to you too how are you today,1
thanks for the warm welcome we did not make plan because our arrival time wa so up in the air,2
day and counting,1
sorry friend I am swamped with deadline right now and we have family visiting to boot no charge for me,0
brainfreeze,1
just discovered a shortcoming of gravity when you use twitpic integrated it doe not subtract the pic url from the character limit,1
my suburb is feeling,0
perry purple nail polish is not a perry when it shipped,1
before they put a camera in the smoker pit i can no longer vandalize that door without being caught,1
laying alone since book s soo com in his f n play pen i thought it wa ill at first now i do not have no one to middle with,0
i hate the dentist,0
nothing aimed at you just joining in sorry,0
I am taking a twitter break cell is dying,0
good morning,1
writing my english original writing story and listening to a little respect by erasure aah,1
need more follower,1
i wish i could get my nail done stupid job,0
the little worry from labyrinth sadly passed away today but it ok a he still around in a happy ghost form www,1
the no pant idea could be the new attempt world wide to attract business back to the airline,1
have a good one,2
yep intact she is popular miss india talented film actress and lot more,2
doesn t want to go to work tomorrow,0
daniel ha won dids his voice is great,2
o i wish the birthday massacre would come to australia i think they said they are thinking about it tho,1
wa hoping to go to red lobster this weekend,1
x atl you mean jack barakat s wow so have you ever gone to his hoyoyouse here i mean yoyoyou re soo lyoyoucky to have the address,2
i sure do hope it becomes this afternoon,2
it mean that you are now famous contrast,2
my phone passed away yesterday he jumped off the table searching for a new phone,0
i have such fantastic friend including several one met through here thanks for being in my life you are such amazing people,2
tally wish she wa a cool a my sock draw,2
so no rice or crust bread with the chili www,1
we are of like mind this evening my dear,1
come and save me from my packing please,1
yes i love tea if that make me typically english then so be it,2
a mouth for sure,2
decade i finally just have hour of history at pm but i went to my highschool at am to make some homework with a friend,1
pancake with lemon and sugar thanks,2
si no bueno i guess i just do not entertain him,0
I am so hungry right now and these heel kill me i can hardly walk in them,0
both electronic key stopped working there is no keynote cant get in my car so much for technology,0
yay three follower good to know more than one person in this big wide world like fish,2
my name is tony not hey poor tony,0
goodmorning,2
took a shift tomorrow i do not really feel like working right now,0
i love mine too happy mother s day to your mom john taylor much love to you too,2
saw a black snake in the garden went back for a picture and it wa gone,1
we bought lui her own rug dog are the best,2
no waterfront anymore fascia luna and clarendon will have to do,0
love her mum very much happy mother day to all the wonderful mother out there,2
slipped up and caught the flu feeling like poop,0
i have an urge to play wow but i have to wait week til im at my dad day til fly im so excited l,2
ok the passenger no one is alive they are all dead you just do not know it til the end then you cry,0
discovered and are sharing on g reader with me and did not even know it sigh I am such a g reader news,1
is chilled out tone so can not spec venom or write funny seems like these are the only style she ha,1
if you do please pray me lord know i need it,1
law i want to live in the usa,1
morning temple,2
hey i did not get any,1
now you only have hour to sleep rest if you need it,2
that make my day so much better it ha it is been a rough one did i mention i love the new photo,1
i do not want to sit at home on prom night someone hang out with me,0
is heading home from foot surgery and wishing she had a boyfriend to come over and middle with,2
concert tonight chain out and not coming tomorrow,1
what happened i thought you were coming back today,1
laughing out loud summit well then next time then,0
laughing out loud just do not ever forget me,2
still jealous,0
me at forever than could not be there,0
now im sad but im not giving in first i did not do nothing,0
this week of mine wa not easy but finally it ha it is over,0
wow what a beautiful picture and by the way i am straight just wanted to let you know bella,2
in arch drawing checking out mcc s cad degree look good to me,2
there are people and then there are pencil some are sharp some are not and some can be sharpened my pencil philosophy,1
just about to go home I am usually mr positive but this ha been one of those date well min until tomorrow,1
but you always have lee let u go to paris,1
you know you want to come keep me company whilst mum s at her friend for the night it ha it is such a nice evening,2
cooking with my dad having lot of fun in the kitchen together,2
bouncing rush make me feel gaseous,0
off to woolsery this morning to hopefully see north molten u clinch the north devon league title lovely day for it,2
playing singular without my have better,0
you are missing out bb I am such a cereal nut i think i like every kind available,2
that ha that is just weird oh and what wa it you were drawing for me,0
just woke up o sum singing to her new good night r cd replacement i bought because im a good daughter,2
the bird are out oh man that ha that is not cool i did not sleep yet for the night,0
mile down only to go that ha that is ok you too on the radio always help,2
my street fighter iv skill are lacking can not beat seth on easy,0
fil with cool people like me,2
good morning work and then it ha it is espn s sunday night baseball hopefully it will not get rained out,2
i think it ha it is under a honeymoon by the good life either that or it ha it is under a honey moon by joseph arthur,1
my son got stung by a bug for the first time his little finger is slightly swollen,0
it wa hour ago i came in and it ha it is only now i realised when i went to buy something online,1
oh just referring to our lil exchange on lj with regard to twitter archive posting,1
bumping dj opus in the drunk in the car laugh my a .. off do not act like you do not know,0
why keep it simple stupid the foot of the people who kick you when you can be anything that you want to morning everyone hope you have the best day ever,2
here s a brief preview oh my josh james is creepy in that role I am scared of him,0
I am missing crab leg and attending my going away instead,0
hick are mean,0
get ready to take a trip to jersey my dad s not doing so good he need a new heart whoever see s this please say a prayer for my dad,0
back soon need to run to the shop and cut the grass,1
I am up i have a plan to transform my bedroom today random,1
home until tomorrow did my running and spinning now time for chiropractic laundry shopping and visiting family missing nathan,0
that ha that is another sponsor,1
and most of u are going to be stuck in an office some without window,0
no it ha it is not sad should make you proud,0
sorry we will try to keep it down,0
is home alone doing hw,1
according to a quarter of family under six live in poverty,0
the plan to not spend money is not going well,0
uploading all my bamboozle picture of facebook,1
congratulation you guy finish a month early than we do boo,2
actually i wish i wa back in the i miss it there,0
woke up i wan na stay in my bed,1
but my birthday is june this is back and havent seen any promotion for my birthday party someone better finale this a soon a possible,0
it would be great if those tip were for some act I had I would enjoy seeing but not,1
marie wish i could make it too i hate my commute sometimes,1
working a long day today hopefully i can make some good tip,2
but it all went too quick and there wa not a chance laughing out loud,0
hate headache maybe I am not ready to rock,0
thanks for the support,2
there ha there is really no android twitter app of tweet s calibre,1
had a good day driving up mountain visiting katie eating chip judge and stocking up on lovely smelling soap,2
happy mother s day to your mom s,2
yeah and im going to take you re pictyou ree off my ipod baby,1
traumatizing moment of my childhood my dog massacred baby bundle and my brother and i got out the bb gun,0
laughing out loud same here wish there wa a way to microsites everything laughing out loud,1
organization itis forget about people and so they fail preaching to the converted it is the people,0
liberty um glad you enjoyed it,2
about to have dinner and then an evening of playing card already packed and ready to head home tomorrow do we have to go home,1
im allergic to cat my fossil get swollen and they hurt what do i doo,0
he say he feel mama fucking him in at night he ha he is lonely but getting by tomorrow will be tough,0
i miss her alot and it only been one day,0
sound like you all had a great night I am glad it wa successful,2
thanks for sharing that,2
you should say lia instead of ml i hope you find it soon,2
garden going well almost all the corn and pea are up no onion or meet up yet though,2
nah join he ha he is hot so bored now,1
ah I am sneaky clean and fresh even though I am wearing dirty clothes i love two and a half men it ha it is amazing,2
yes i have read them many time,1
cup you play a grown up on twitter,1
i am living in ignorance,0
note it is telling you that you want cameo cream,1
www we are going to miss you,0
we quite like working it a relaxing place with nice coffee shop and fresh air and not too many ois,2
terrible haha that wa new the fact that he could not do it should have cost his part what kind of stock is that,1
today wa a lovely day i had fun with and this evening,2
beta s pizzeria is on banksville rd in i believe the beachview area sorry to answer like year later,0
sigh my sister been strange she came all the way from copenhagen to london and now her phone turned off i wan na see her summit,0
it wa amazing,2
bar trying to figure out y the del am not are not connecting i need my google going home to my computer if it do not start working soon smh,1
I am sick and sad missing out on martini lounge tonight,0
seems really quiet tonight am jealous of those who are clearly having a more exciting life than me off to bed i think,1
really wish he had some spare cash to buy the new punch out for wii,0
aw not going to toronto anymore,0
so sorry to hear about your mom that really suck,0
i feel for you i hope it ha it is a smooth flight be safe much amor from boston,2
can not sleep so I am watching gt I am afraid infomercial are about to take over,0
I am getting me my family ready for kyle s graduation it ha it is going to make me so sad,0
sweet dream,2
hay wa you re aim we should chat,1
okay tool i might be touring all summer long but we can make it happen,1
in pain my big toe got stopped on during the hockey coke it ha it is throwing anyone have any suggestion to heal it,0
time to watch op then some dead like me then sleep,1
having dinner with my grand since i could not be with my mum,1
haha thanks it for history and it on how the invention of television ha influence america laughing out loud,2
yea so wasp,1
stupid job id what to do,0
stopped til i dropped come bac sunshine i miss you,0
like your pic lucky girl again,2
thank you I have had anxiety issue for year so i think if i can make it through the first couple of day then i will be fine,1
around hour left until a day weekend and i have way too much work to do,1
feeling loved my mom got me a nixon cool pix for my birthday,2
there were attempt to somehow extend inner class which would be close to closure can not find the ref at the moment,1
yes join u all we require is a uptake donation,1
i have such a hard time talking to new people i am pretty sure i did not make a good impression,0
rc haha yup but still have a terrible headache and super swollen and puff eye i do not think im going out today gh,0
can not access your site,1
and the sun is spinning at last,2
we are on the slowest train ever it stop everywhere missed a quick train by a few minute,0
sup no cd either just a whole bunch of zero and one you can have for free,1
my graduation day and i feel like a failure,1
ops that laughing out loud wasnt supposed to got to twitter,1
i do not think I have ever been so tied in my life gh goodnight so sleeping in tomorrow,0
what are you going to do today my girl,1
why doesnt he want me anymore,0
bad hair day,0
headache,0
sorry guy i did not sign in for a while sorry every,0
i am just okay okay like the rest of the sane population in the world i hate monday,1
mort s requiem,1
i think i am a bit in love with his creation and wit but not that physically attracted to him although he ha great style,1
a michael hey thanks for another great day I am going to sleep now I shall I will chat with you tomorrow sweet dream,2
i bet it cool down in sr huh it ha it is not here i have not stopped sweating since noon when dad and i were packing,0
ohshnapss is she pissed at blair a usual haha yeah i bake cooky,1
no bueno hollykins need to feel better a soon a possible p s i miss you you done with uni soon are not am not you soproudofyou,1
cool you and your mother have awesome hair style wish her a happy mother s day,2
happy mother s day mother,2
my expression watching this again,1
stupid bipolar weather ruined my day off,0
i did not want to tell you but i think it ha it is your body odor,0
nice beta for esports still no news on the online for madden,1
that ha that is pretty bad quality and probably the worst pic you posted till date,0
i missed your call,0
unfortunately for u it look like there are no funny people on twitter should we move to fb or start our own litter,0
just came back from karaoke eating dinner with emily it wa soo much fun,2
discrimination is not a bad thing I have learned to say no my child would say i mastered that year ago,2
sure i can talk the fabulous part though is out sorry dear,1
did you see the sec clip of the new moon trailer it up on eonline com check it out it a big tease though,0
just got back from working out I am feeling pretty good work at,2
ah my sat blend did not save,1
so why should that matter i bet you would be great at it i do it ha it is what you love right why not go for it,2
dh is just about finished making his giant trio candy bar thank the heaven his work mate are in for a treat tomorrow,2
my ear are popping,1
working on diffusing that irritation but this traffic sure is not helping mother f it ha it is always real bad the day th i help plan stuff,0
i submitted my resume the same day and saw no answer back oh well,0
catching up on week of lost and grey s house is quiet again,1
i love when ryan a housewife make me smile,2
soo i m kinda o sick n tired of the b that guy dish out,0
boo i wa hoping for a fake alien story with a airfoil covered beachball photo,0
hey hill wazzupp,1
missed out on westcott micro apollo too,0
great you can buy me lunch when i get my pay cut next month,2
finally gone to the beach yeah,2
hanja did i ever mention what a nice and awesome dude you are,2
last weekday of doing nothing school start next week,1
hello gorgeous girl nice new pic how are you today,2
ok that duet wa hysterical laughing out loud,2
ok i have to turn off all of my twitter device update until i get a new battery phone go from fully charged to dead in about hour,1
