Initial Text,Cleaned Text
 which case? I got a new one last week and I`m not thrilled at all with mine.,which case i got a new one last week and i am not thrilled at all with mine
 Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,then you should check out and connect with other temple who hate twitter
" also bored at school, its my third freelesson( freistunde )",also bored at school it my third freelesson freistunde
 hm... Both of us I guess...,hm both of u i guess
 it is ****...u have dissappointed me that past few days,it is you have disappointed me that past few day
 romance zero is funny,romance zero is funny
 I`d rather do the early run..but I am a morning runner,i had rather do the early run but i am a morning runner
Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,bah a coworkers ran into work late and her bag sacked into my knee it really hurt now
will be back later.  http://plurk.com/p/rp3k7,will be back later
Aw. Torn ace of hearts  #Hunchback,aw torn ace of heart hatchback
 what fun are you speaking of?,what fun are you speaking of
"i lost all my friends, i`m alone and sleepy..i wanna go home",i lost all my friend i am alone and sleepy i wannago home
 haha yes,haha yes
I give in to easily,i give in to easily
mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,mann got an iphone im jealous
Is at a photoshoot.,is at a photoshoot
  He`s awesome... Have you worked with him before? He`s a good friend.,he ha awesome have you worked with him before he ha a good friend
Chilliin,chilling
" If you know such agent, do let me know",if you know such agent do let me know
 a celtics-lakers rematch sounds better don`t you think? lol,a celtic lakers rematch sound better do not you think laughing out loud
"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",you can ride one you can catch one but it not summer til you pop open one
"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",i am really missing the fam il today
 My sources say no,my source say no
I am sooo tired,i am soo tired
" Hey, you change your twitter account, and you didn`t even tell me...",hey you change your twitter account and you did not even tell me
 THANK YYYYYYYYYOOOOOOOOOOUUUUU!,thank yyoouu
 lucky kid...i so wanna see loserville  pity im in oz....,lucky kid i so wannasee loserville pity im in oz
fell asleep waiting for my ride!,fell asleep waiting for my ride
Sick. With a flu like thing.,sick with a flu like thing
"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",still no reply from about my problem so no rape parody video until i get a response sorry guy
Happy Star Wars day everyone! and Enjoy the holiday (UK),happy star war day everyone and the holiday
 Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,from you i am in so give me plenty of warning so i can arrive in time to get at least one of those free beer
"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",his scoring is so annoying n it keep me from sleeping like right now laughing out loud but i honestly ud miss it if it eva left i love him
i miss you bby      wish you were going tomorrow to make me do good.,i miss you baby wish you were going tomorrow to make me do good
 SWEEEEET - San Fran is awesome!!!!  Love it there,sweet san fran is awesome love it there
_Mounce yes and it lasts way past my bedtime!,bounce yes and it last way past my bedside
 Hi  how are you doing ???  *just joined twitter...*,hi how are you doing just joined twitter
waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,waiting for sleeping pill to kick in going to be so tired at work tomorrow
eating ice cream and then getting ready for graduation.,eating ice cream and then getting ready for graduation
Happy Mothers day to all you Mums out there,happy mother day to all you sum out there
" CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",casey s gone but why so she riddled a little on the carpet she ha poll created cause it ha new can we get her back
 hemp cloth is marvelous but unfortunately no,hemp cloth is marvelous but unfortunately no
 We saw that in none 3D - the baddie`s the best,we saw that in none thir the badge s the best
4am. And Im on the beach. Pretty,and im on the beach pretty
"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",one week post my horrible traumatic jumping coll accident coll s next dirty trick piece are starting to emerge from my hand such
i realy wanted to go out cause its so nice but everybodys busy,i really wanted to go out cause it so nice but everybody busy
 Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,awesome i am down in if you know where that is by the way yourbiggestfan i am a re al big fan of you r
at least I get to watch over time  Let`s go Pens!!,at least i get to watch over time let u go pen
 have a safe trip joshy poo.......you`ll knock them dead at your speech,have a safe trip josh poo you ll knock them dead at your speech
" woof, I wish I was allowed to go",roof i wish i wa allowed to go
if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,if you have a friendster add me my email address add me loco crime first com add me leave some comment
  has tickets.......?,ha ticket
"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",thank you also i got a giant teach
"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",www i love my daddy he work seven day a week almost all day and still try to go to with all of u
So many tests todayyy  I don`t feel confident about anyy.,so many test today i do not feel confident about any
graduation is done  im a little sad.. anyone want to hang out???,graduation is done im a little sad anyone want to hang out
holy smokes! star trek was freaking awesomeeeee,holy smoke star trek wa breaking awesome
"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",i hate fallout three it keep making me jump i am also low on health money ammo and food do not worry i shall get through it
What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,what ha with the gloomy weather the sun must be too tired to come out and play heading to victoria garden for some impulse buy haha
"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",not looking forward to next week math english and french exam totalling
" Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",poor you get outside and sleep in the garden the sun will do you good but do not forget scream
not well,not well
 Not a prob hun,not a pro hun
"at dads, watching some mtv and am going on sims2 in a minutee",at dad watching some mtv and am going on sims2 in a minute
 Absolutely,absolutely
 what`s the matter chickadee?,what ha the matter chickadee
"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",shopping cleaning being webcam chatting with nephew nothing speed but a good bank holiday monday nonetheless
 =O you need to ask him something? Lmao I love him too,o you need to ask him something laugh my a off i love him too
 those splinters look very painful...but you were being very heroic saving mr. Pickle,those sprinter look very painful but you were being very heroic saving mr pickle
 why are you sad?,why are you sad
 Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,to see you meeting it ha sunday tenth may and we are celebrating mother s day here today so be nice to yer mom
decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,decided two trans frm relaxed two natural hair but i wish my whole head looked like my root age of the instant gratification
Humous and Dorito`s.... Oh yes,humour and rito s oh yes
"missed all the awesome weather, because she was in a movie!",missed all the awesome weather because she wa in a movie
Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,today is going to be a normal day for i hope we had a group of pilot from a large airline come in so it wa too much drink
"These kids are terrible! If I was in Good Evans, I`d call Childline",these kid are terrible if i wa in good evans i had call
"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",unfortunately aerlingus no longer fly to so we are have to fly ryanair to billed and drive up to one of the day
" What`s sad is that I actually had to google that term. That sucks, tho.",what ha sad is that i actually had to google that term that suck tho
Hate fighting,hate fighting
" I watched that too!!! I didnt want her to win, but she put up a good fight..lol",i watched that too i did not want her to win but she put up a good fight laughing out loud
Car-warmed Sprite tastes like sore throat,car warmed sprite taste like sore throat
Just came 11th in cross country and beat dumbo,just came eleventh in cross country and beat dumb
" She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",she ha assuming and pretentious she ha just a i suppose that ha why she ha so entering because we can relate to her
tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,tomorrow galeria s lunch going to get my hair done but im arriving late got my cousin baptism or whatever you spell it
goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,good tweet week three of my workout did i mention i got my new glass yesterday
 me too. I hate my computer so much..,me too i hate my computer so much
I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,i want red cruiser i do not like the other one mfa
"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",ha work to do on a sunday i will find time for a lunchbreak though yeah
Bugger. forgot I still have washing in my machine,bigger forgot i still have washing in my machine
"_Laurie sending love, blessings & healing thoughts to you & family  peace",sending love blessing healing thought to you family peace
My back hurts...really bad,my back hurt really bad
" ah yes, I know that feeling",ah yes i know that feeling
My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,my modem ha been offline for a week now god bless the 3g network just left again may schedule ha been brutal
 Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,had parent teacher thing yesterday so boring going to sk on saturday laughing out loud
  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,lichfield tweet sound like fun hope to see you and everyone else there
Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,big booming thunder storm almost here maybe we can all go home early ah probably not
first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,in myers just not the same w out medium but i am actually excited about this summer
 good morning,good
 its the best show EVER!,it the best show ever
URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,url in previous post to timer job should be i had removed space which messed up url e
i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,i think iv hurt my tooth and english and case are having a drawing competition to draw cooky and pineapple haha l
 I want to know when the auditions are Mander! Text or...reply please!,i want to know when the audition are manner text or reply please
or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,or even not not the secret namerebecca please
 I miss my neice  can`t wait to see her bad n grown ****! Lol,i miss my nice cannot wait to see her bad n grown laughing out loud
i need to get my computer fixed,i need to get my computer fixed
really hopes her car`s illness is not terminal...,really hope her car s illness is not terminal
 no sir...i woulda put honey...but i don`t have any,no sir i would put honey but i do not have any
who watched X-men origins: wolverine? i totally loved it! haha,who watched x men origin wolverine i totally loved it haha
 I`m sad that I missed you guys last night!,i am sad that i missed you guy
 ok then,ok then
_420 why baby?,four hundred and twenty why baby
today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,today wa the last day of high school for me and i ended up going home sick stupid dead rat
We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,we are having an impromptu pool party except i do not know how to swim so i cannot get in
lost my tooth 2day whilst i was eating gum...oww,lost my tooth seconay whilst i wa eating gum oww
happy 1 year! <3,happy one year three
"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",oh i della forgot to say my official good like to hear it here it go
  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,what about me i vote every day for you
I`m starving!! This diet is killing me but I can`t eat after 8pm,i am starving this diet is killing me but i cannot eat after
im soo bored...im deffo missing my music channels,im soo bored im diff missing my music channel
 nite nite bday girl  have fun at concert,site site birthday girl have fun at concert
"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",had nicotine replacement patch on for so far so good but i did sleep for most of those getting a bit twitch now
_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,what ha with lately either i cannot get on or the reply do not turn up
should be sleeping.  lost my voice a couple day ago.,should be sleeping lost my voice a couple day ago
http://twitpic.com/66xlm -  hate when my PARKED car gets hit,hate when my parked car get hit
 I`ve heard this fall. I`m waiting too!,i have heard this fall i am waiting too
I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,i am such a keeper i feel disappointed because of it my cyberstalking skill the internet no more privacy
going to bed its late and I have headache,going to bed it late and i have headache
happy mother`s day to all moms out there...,happy mother s day to all mom out there
Grabbing coffee from  then making mom breakfast,grabbing coffee from then making mom breakfast
im thinking that im going to have fun tonight....and maybe some changes are coming,im thinking that im going to have fun and maybe some change are coming
 thanks. before the major chop.,thanks before the major chop
" Haha I know, I cant handle the fame!  and thank you!",haha i know i cant handle the fame and thank you
 yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,yes sober tanghaling that dude haha wild i do not known plan plan before you go to
 We never miss ICarly - my son has a huge crush on Miranda,we never miss son ha a huge crush on miranda
Saw James carville in the store today. His head is really that bald,saw james carlisle in the store today his head is really that bald
yellow for   ? http://blip.fm/~5z05g,yellow for
 which means you`re just going to have to come back to vancouver and have it our way! hahah,which mean you are just going to have to come back to vancouver and have it our way haha
Feeling smooth like chrome,feeling smooth like chrome
Ew traffic,ew traffic
"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",downloading song while trying to sneak a lil homework in too which should be my main priority not song laughing out loud
 Sounds like me,sound like me
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,bad day the day you realize what mess you have put me through will be one of the happiest day of my life
Walking to class. I hate not having a bike....especially mine.,walking to class i hate not having a bike especially mine
"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",failed inspection did you know you can pas wo oven but not wo anti tip bracket which is only sold w oven this is worse than tax
"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",to party it ha rocking so hard i love the song
happy mother`s day to all the mothers in the world.,happy mother s day to all the mother in the world
"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",35mins through the firsr 20mins demo that look a lot of fun would love to test it though
Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,sleepy tab is heading to bed fun night listened through the next episode of
"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",screw the review i thought wolverine wa awesome but not enough for my liking
"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",if you followed u recently please do not be offended that we have not followed back we hit our limit hopefully we will be free soon
 Yes i work 6 to 3...,yes i work six to three
" Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",hmm maybe that ha what they meant they ended to something brand new but you know how the medium is
Done at the spa   now meeting vic for some late lunch!,done at the spa now meeting vic for some late lunch
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,happy monday up and about going to tavares today hope everyone ha a blessed day
 Always have wanted to go to Oz,always have wanted to go to oz
 Thx,thank you
 http://twitpic.com/4jaz5 - Cool... luv it,cool love it
  that`s why I need to be there...To represent the Blackberries,that ha why i need to be there to represent the
Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,okay so i am dedicating my three hundredth tweet to the fact that i am going to the store because there is a huge crack on the glass screen
 If only we could ever actually be allowed to stay here and do that,if only we could ever actually be allowed to stay here and do that
 was that sass I detect?  As long as it isn`t back sass! Haha,wa that say i detect a long a it is not back say haha
" yeah I was thinking about that ,ahaha",yeah i wa thinking about that haha
I`m not sleeping at all until  accepts my appology,i am not sleeping at all until accepts my apology
"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",wolverine wa bos and will i am wa in it what the
" I live for pain, bring it on",i live for pain bring it on
  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,powerblog what is this powerblog challenge you keep talking about i am a newbie follower
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,almost died laptop screen wa set to one hundred brightness after i installed window vista got a headache now insanedefaults
Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,waiting for fish to get off got to drive my mom to pick her up all my myself and duck first time
"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",trying to decide on a movie with the friend not going to well laughing out loud p no bible study seconite which mean day cake buy my own
"discovered cause of a bug in the new #NetPLAYER 4 build. Publishing bug fix now, hopefully new beta by tomorrow",discovered cause of a bug in the new netplayer four build publishing bug fix now hopefully new beta by tomorrow
Here are 4 FREE twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/,here are four free twitter tool will get you follower
just got home from work.... and is chugging down a big bottle of apple juice.,just got home from work and is changing down a big bottle of apple juice
 Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,yes it doe please dont go if you die i will cry which normally lead to small animal getting harmed
writing report cards  soooo tired but what an amazing day. check it out on fb soon!,writing report card soo tired but what an amazing day check it out on fb soon
good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn,good news finally finished my yearsactive workout that ha been paused for bad news my resistance band is torn
"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",well good morning all what a wonderful day in the neighborhood thanks for all those that are now following
FTSK and Mercy Mercedes were amazing tonight.. as always,and were amazing a always
  hope he is ok!,hope he is ok
can`t school just be done already? it hurts too much... seeing him every day,cannot school just be done already it hurt too much seeing him every day
"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",i waited listening to wind blowing through the tumbleweed are none of you old enough to know what to do when someone say crackerack
 Hell Yeah!,hell yeah
 i know!!,i know
"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",went to a party and i showed up in matching outfit great mind think alike anyway happy birthday ate lara
" Happy b-day! Just woke up on this side of Earth, so wishes are bit late",happy b day just woke up on this side of earth so wish are bit late
"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",thank you for teaching me value and to be a better person each day i love so much you are the best mum in the world
" *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",laugh i am glad that you have self confidence it ha a wonderful trait to have i shall applaud extra loud for it okay
  Thanks,thanks
Getting ready for week  Its too nice today to be stuck inside working!,getting ready for week it too nice today to be stuck inside working
I am tres depressed,i am tres depressed
"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",felt like behaved like my son ate to compensate rigged out on home roasted sugar almond painful tum threw up still feel sick
Happy Mothers Day people. i love my mom a lot still,happy mother day people i love my mom a lot still
 I`m sorry to hear that.,i am sorry to hear that
" That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",awesome dude yay for surprise celebrity i got to meet him a few year ago he wa soo friendly
" it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",it make me happy to hear a girl talk or tweet about the nba but could you give my nugget some love
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,you know your neck is backed up when you are forced to pay for parking bc you cannot turn you head to parallel park in the free space
Going to miss my roomie ... We will no longer be roomies starting tomorrow,going to miss my rookie we will no longer be rookie starting tomorrow
"bathing with two little angels, Keyla and Janice.",bathing with two little angel key and dance
" Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",yep finished checked full of spelling and grammatical error but i am cleaning it up tomorrow and popping it up here
 HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,hahahha laughing out loud true that i always remember my but i can never remember what date or even day it is
"Family is here,hanging with them",family is here hanging with them
Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,watching her then doing the dish and tanning it s gorgeous out
 what`s goin on hun?  I`m worried about you,what ha going on hun i am worried about you
 Im not bannished... but I am at work till 6,im not banished but i am at work till six
" Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",morning if i get to see it i shall let you know right now i am going to go see wolverine
" red top tabloids, build em up, knock em down",red top tabloid build em up knock em down
tonight in party w/ my girls (minus vita),in party w my girl minus vita
  why not now you made me sad I thought you`d be jumping for joy,why not now you made me sad i thought you had be jumping for joy
 Simple my a#@,simple my a
" I saw the play of it here, it was amazing",i saw the play of it here it wa amazing
 _ i am glad to break my twitter virginity with you two.,i am glad to break my twitter virginity with you two
Dinner with the fam... I have missed them,dinner with the fam i have missed them
"_Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn.",live what i want more the better bound to be a few bad egg though but they will soon learn
" I know   It was worth a shot, though!",i know it wa worth a shot though
"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",just opened a facebook account i am a little confused i do not really get it twitter seems much better
Ship. I`m stuck.,ship i am stuck
DUSTBIN BABY ON AT 11.30 Cannot wait  x,justin baby on at eleven thirty cannot wait x
" Not going to dwell on it. It happened, it`s passed. Just a shame as he was so supportive! Such is life!  x",not going to dwell on it it happened it ha passed just a shame a he wa so supportive such is life x
,
Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.,home empty handed no comic found today i shall now indulge in my cupcake from
Laying in bed til workkk... Oh the life. Definitely pinched a nerve.,laying in bed til work oh the life definitely pitched a nerve
today is a busy day. exhausting!,today is a busy day exhausting
 Sorry to hear ur flight got cancelled  that blows!!!,sorry to hear you re flight got cancelled that blow
ohh my tooth is hurts ohh  im sad it very hurts,oh my tooth is hurt oh im sad it very hurt
 u think u have bills Ha!Ii just finished paying mine that`s y I`m broke,you think you have bill joyous finished paying mine that ha y i am broke
 Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!,not syoyou ree it did not say it wa two big i st saw the pic of you on you re last birthday you looked so pretty i miss you
mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,fly gig last night oh my josh it wa amazon did not sit down through the whole thing fly did you see me and ma best mate we were in status
2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing,two day without sleep and now a migraine i thought life post01 wa meant to be relaxing
 There!,there
?sucks!?..,suck
 whens the sway sway winner announced?,when the sway sway winner announced
 K will check it out...,k will check it out
I Miss Daddy and Mommy,i miss daddy and
"My dog is officially depressed that my brother`s dogs are gone. He doesn`t want to go outside and when we did, he play half-heartedly.",my dog is officially depressed that my brother s dog are gone he doe not want to go outside and when we did he play half hearted
I just realized that I can`t forward text msgs with my iPhone.,i just realized that i cannot forward text msg with my
"My frist post... Off to find a new car for my parents, exciting!",my first post off to find a new car for my parent exciting
Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!,arch not missed the killer on loss that suck missed out on total failure anyone know if it ha repeated must investigate
seriously bored without anyone to talk to... but not tired enough for sleep,seriously bored without anyone to talk to but not tired enough for sleep
 I am lost. Please help me find a good home.,i am lost please help me find a good home
"It`s a Peter & Gordon morning  -> And I, go to pieces and I wanna hide / Go to pieces and I almost die / Ever... ? http://blip.fm/~5yk38",it ha a and i go to piece and i wannahide go to piece and i almost die ever
Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,ok so i have now got a bit of a bad back after lifting all drum hardware into my car owner
 LMAO... Smh!  that one threw me off.,laugh my a .. off smh that one threw me off
 oh nice going!,oh nice going
Gonna celebrate Mothers Day with the family but gonna start the partying tonite,going to celebrate mother day with the family but going to start the partying tone
 i agree with you!,i agree with you
 I only do computers. Am hopeless at everything else,i only do computer am hopeless at everything else
"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",ninety degree gross sky and thunderstorm perfect match for my mood laughing out loud
_2nd aww thanks!,second www thanks
 Sorry RB is on PS3 for me,sorry rb is on ps3 for me
I saw amazing heeels. But they were too big,i saw amazing heel but they were too big
I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,i just stuck my finger down my throat and there are a bunch of bump on my tongue throat
dang last url went down  ? http://blip.fm/~7aigm,dang last url went down
" ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now, **** time difference",ooh i missed all you re tweet im going to have to stay awake to see the announcement now time difference
 Damnit all. That sucks.  You were one of the ones I thought I`d drag back lol,admit all that suck you were one of the one i thought i had drag back laughing out loud
this is sooo crazy i have fever..,this is soo crazy i have fever
is spending her Saturday morning taking notes for a research essay because some stupid **** recalled the book I`m using. Not fair,is spending her saturday taking note for a research essay because some stupid recalled the book i am using not fair
I think i need some new friends,i think i need some new friend
