Initial Text,Cleaned Text
egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,egh blah and boooooooooooo i dunno wan na go to work hangov suckkkkkk im a drunk mess
:visiting my friendster and facebook,visit my friendster and facebook
"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",i doubt like to peel pawn i also dont like go shop run out of money and crawl round the car look for more
 which case? I got a new one last week and I`m not thrilled at all with mine.,which case i got a new one last week and i ` m not thrill at all with mine
 Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,then you should check out and connect with other templ who hate twitter
" also bored at school, its my third freelesson( freistunde )",also bore at school it my third freelesson freistund
 hm... Both of us I guess...,hm both of u i guess
 it is ****...u have dissappointed me that past few days,it is u have disappoint me that past few day
 romance zero is funny,romanc zero is funni
 I`d rather do the early run..but I am a morning runner,i ` d rather do the earli uncut i am a morn runner
Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,bah a cowork ran into work late and her bag sack into my knee it realli hurt now
will be back later.  http://plurk.com/p/rp3k7,will be back later
Aw. Torn ace of hearts  #Hunchback,aw torn ace of heart hatchback
 what fun are you speaking of?,what fun are you speak of
"i lost all my friends, i`m alone and sleepy..i wanna go home",i lost all my friend i ` m alon and sleepi wan na go home
 haha yes,haha yes
I give in to easily,i give in to easili
mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,manner got an iphon im jealous
Is at a photoshoot.,is at a photoshoot
  He`s awesome... Have you worked with him before? He`s a good friend.,he ` s awesom have you work with him befor he ` s a good friend
Chilliin,chill
" If you know such agent, do let me know",if you know such agent do let me know
 a celtics-lakers rematch sounds better don`t you think? lol,a celticslak rematch sound better don ` t you think lol
"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",you can ride one you can catch one but it not summer til you pop open one
"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",wow i am realli miss the famili today ad
 My sources say no,my sourc say no
I am sooo tired,i am soon tire
" Hey, you change your twitter account, and you didn`t even tell me...",hey you chang your twitter account and you didn ` t even tell me
 THANK YYYYYYYYYOOOOOOOOOOUUUUU!,thank yyyyyyyyyoooooooooouuuuu
 lucky kid...i so wanna see loserville  pity im in oz....,lucki kid so wan na see loservill piti im in oz
fell asleep waiting for my ride!,fell asleep wait for my ride
Sick. With a flu like thing.,sick with a flu like thing
"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",still no repli from about my simfing problem so no rape parodi video until i get a respons sorri guy
Happy Star Wars day everyone! and Enjoy the holiday (UK),happi star war day everyon and enjoy the holiday uk
 Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,mile from you i ` m in essex so give me plenti of warn so i can arriv in time to get at least one of those free beer
"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",his score is so annoy n it keep me from sleep like right now lol but i honest ud miss it if it eva left i love him
i miss you bby      wish you were going tomorrow to make me do good.,i miss you by wish you were go tomorrow to make me do good
 SWEEEEET - San Fran is awesome!!!!  Love it there,sweeeeet san fran is awesom love it there
_Mounce yes and it lasts way past my bedtime!,bounc yes and it last way past my bedsid
 Hi  how are you doing ???  *just joined twitter...*,hi how are you do just join twitter
waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,wait for sleep pill to kick in gon na be so tire at work tomorrow
eating ice cream and then getting ready for graduation.,eat ice cream and then get readi for graduat
Happy Mothers day to all you Mums out there,happi mother day to all you sum out there
" CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",casey ` s gone but whi so she riddl a littl on the carpet she ` s poll creat caus it ` s new can we get her back
 hemp cloth is marvelous but unfortunately no,hemp cloth is marvel but unfortun no
 We saw that in none 3D - the baddie`s the best,we saw that in none d the badg ` s the best
4am. And Im on the beach. Pretty,am and im on the beach pretti
"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",week post horribl traumat jump coll accidentcholla ` s next dirti trickpiec are start to emerg from my hand such
i realy wanted to go out cause its so nice but everybodys busy,i realli want to go out caus it so nice but everybodi busi
 Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,awesom i ` m down in ocean beach if you know where that is by the way yourbiggestfan i ` m a real big fan of your
at least I get to watch over time  Let`s go Pens!!,at least i get to watch over time let ` s go pen
 have a safe trip joshy poo.......you`ll knock them dead at your speech,have a safe trip josh pooyou ` ll knock them dead at your speech
" woof, I wish I was allowed to go",roof i wish i wa allow to go
if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,if u have a friendster add me my email address add me lococrimestcom add me leav some comment
  has tickets.......?,ha ticket
"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",thank you again nasal spray also i got a giant teach tonight
"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",www i love my daddi he work day a week almost all day and still tri to go to sf with all of u
So many tests todayyy  I don`t feel confident about anyy.,so mani test today i don ` t feel confid about ani
graduation is done  im a little sad.. anyone want to hang out???,graduat is done im a littl sad anyon want to hang out
holy smokes! star trek was freaking awesomeeeee,holi smoke star trek wa break awesomeeee
"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",i hate fallout it keep make me jump i ` m also low on health money ammo and food don ` t worri i ` ll get through it
What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,what ` s with the gloomi weather the sun must be too tire to come out and play head to victoria garden for some impuls buy haha
"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",not look forward to next week math geographi english and french exam total hour
" Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",poor you get outsid and sleep in the garden the sun will do you good but don ` t forget scream
not well,not well
 Not a prob hun,not a pro hun
"at dads, watching some mtv and am going on sims2 in a minutee",at dad watch some mtv and am go on sim in a minut
 Absolutely,absolut
 what`s the matter chickadee?,what ` s the matter chickade
"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",shop clean be webcam chat with nephew noth speed but a good bank holiday monday nonetheless
 =O you need to ask him something? Lmao I love him too,=o you need to ask him someth lmaz i love him too
 those splinters look very painful...but you were being very heroic saving mr. Pickle,those sprinter look veri painfulbut you were be veri heroic save mr pickl
 why are you sad?,whi are you sad
 Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,nice to see you meet it ` s sunday th may and we ` re celebr mother ` s day here today so be nice to yer mom
decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,decid tran frm relax natur hair but i wish my whole head look like my root age of the instant gratif
Humous and Dorito`s.... Oh yes,humour and rito ` s oh yes
"missed all the awesome weather, because she was in a movie!",miss all the awesom weather becaus she wa in a movi
Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,today is go to be a normal day for i hope we had a group of pilot from a larg airlin come in last night so it wa too much drink
"These kids are terrible! If I was in Good Evans, I`d call Childline",these kid are terribl if i wa in good evan i ` d call childlik
"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",unfortun aerlingus no longer fli to copenhagen so we ` re have to fli ryanair to bill and drive up to copenhagen one of the day
" What`s sad is that I actually had to google that term. That sucks, tho.",what ` s sad is that i actual had to googl that term that suck tho
Hate fighting,hate fight
" I watched that too!!! I didnt want her to win, but she put up a good fight..lol",i watch that too i didnt want her to win but she put up a good fightlol
Car-warmed Sprite tastes like sore throat,carwarm sprite tast like sore throat
Just came 11th in cross country and beat dumbo,just came th in cross countri and beat dumb
" She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",she ` s assum and pretenti she ` s just a i suppos that ` s whi she ` s so endearingbecaus we can relat to her
tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,tomorrow galeria ` s lunch go to get my hair done but im arriv late got my cousin baptism or whatev you spell it
goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,goooooddd morn tweet week three of my workout did i mention i got my new glass yesterday
 me too. I hate my computer so much..,me too i hate my comput so much
I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,i want red cruiser i don ` t like the other one mfa
"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",ha about hour work to do on a sunday boo i will find time for a two hour lunchbreak though yeah
Bugger. forgot I still have washing in my machine,bigger forgot i still have wash in my machin
"_Laurie sending love, blessings & healing thoughts to you & family  peace",larg send love bless heal thought to you famili peac
My back hurts...really bad,my back hurtsreal bad
" ah yes, I know that feeling",ah yes i know that feel
My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,my modem ha been offlin for a week now god bless the g network tim just left again may schedul ha been brutal
 Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,had parent teacher thing yesterday so bore go to sk on saturday lol
  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,lichfield tweet sound like fun hope to see you and everyon els there
Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,big boom thunder storm almost here mayb we can all go home earli ah probabl not
first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,first night in myer just not the same out medium but i ` m actual excit about this summer
 good morning,good morn
 its the best show EVER!,it the best show ever
URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,url in previous post to timer job should be i ` d remov space which mess up url e
i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,i think iv hurt my tooth and english and case are have a draw competit to draw cooki and pineappl haha l
 I want to know when the auditions are Mander! Text or...reply please!,i want to know when the audit are manner text repli pleas
or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,or even voodoo not the secret namerebecca pleas
 I miss my neice  can`t wait to see her bad n grown ****! Lol,i miss my nice can ` t wait to see her bad n grown lol
i need to get my computer fixed,i need to get my comput fix
really hopes her car`s illness is not terminal...,realli hope her car ` s ill is not termin
 no sir...i woulda put honey...but i don`t have any,no sir would put honeybut i don ` t have ani
who watched X-men origins: wolverine? i totally loved it! haha,who watch men origin wolverin i total love it haha
 I`m sad that I missed you guys last night!,i ` m sad that i miss you guy last night
 ok then,ok then
_420 why baby?,whi babi
today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,today wa the last day of high school for me and i end up go home sick stupid dead rat
We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,we ` re have an impromptu pool parti except i don ` t know how to swim so i can ` t get in
lost my tooth 2day whilst i was eating gum...oww,lost my tooth day whilst i wa eat gumoww
happy 1 year! <3,happi year
"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",oh i della forgot to say my offici good morn like to hear it here it go goooooooooooood morrrrrrrrn twittervill lol
  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,what about me i vote everi day for you
I`m starving!! This diet is killing me but I can`t eat after 8pm,i ` m starv this diet is kill me but i can ` t eat after pm
im soo bored...im deffo missing my music channels,im soo boredom diff miss my music channel
 nite nite bday girl  have fun at concert,site site bday girl have fun at concert
"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",had nicotin replac patch on for hour so far so good but i did sleep for most of those hour get a bit twitch now
_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,anderson what ` s with twitter late either i can ` t get on or the repli don ` t turn up
should be sleeping.  lost my voice a couple day ago.,should be sleep lost my voic a coupl day ago
http://twitpic.com/66xlm -  hate when my PARKED car gets hit,hate when my park car get hit
 I`ve heard this fall. I`m waiting too!,i ` ve heard this fall i ` m wait too
I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,i am such a keeper i feel disappoint becaus of it my cyberstalk skill the internet = no more privaci
going to bed its late and I have headache,go to bed it late and i have headach
happy mother`s day to all moms out there...,happi mother ` s day to all mom out there
Grabbing coffee from  then making mom breakfast,grab coffe from then make mom breakfast
im thinking that im going to have fun tonight....and maybe some changes are coming,im think that im go to have fun tonightand mayb some chang are come
 thanks. before the major chop.,thank befor the major chop
" Haha I know, I cant handle the fame!  and thank you!",haha i know i cant handl the fame and thank you
 yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,yes sober haha tanghal that dude haha wild i don ` t knowwww plan plan befor you go to u
 We never miss ICarly - my son has a huge crush on Miranda,we never miss car my son ha a huge crush on miranda
Saw James carville in the store today. His head is really that bald,saw jame carlisl in the store today his head is realli that bald
yellow for   ? http://blip.fm/~5z05g,yellow for
 which means you`re just going to have to come back to vancouver and have it our way! hahah,which mean you ` re just go to have to come back to vancouv and have it our way haha
Feeling smooth like chrome,feel smooth like chrome
Ew traffic,ew traffic
"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",download song while tri to sneak a lil homework in too which should be my main prioriti not song lol
 Sounds like me,sound like me
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,bad day the day you realiz what mess you ` ve put me through will be one of the happiest day of my life
Walking to class. I hate not having a bike....especially mine.,walk to class i hate not have a bikeespeci mine
"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",fail inspect did you know you can pas wooden but not woantitip bracket which is onli sold woven this is wors than tax
"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",jona brother live to parti it ` s rock so hard i love the song
happy mother`s day to all the mothers in the world.,happi mother ` s day to all the mother in the world
"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",min through the hr min googl wave demo that look a lot of fun would love to test it though
Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,sleepi tab is head to bed fun night listen through the next episod of loss ` d
"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",screw the review i thought wolverin wa awesom but not enough domin jonathan for my like
"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",if you follow u recent pleas dont be offend that we haven ` t follow back we hit our limit hope we will be free soon
 Yes i work 6 to 3...,yes i work to
" Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",mmm mayb that ` s what they meant they end to someth brand new but you know how the medium is
Done at the spa   now meeting vic for some late lunch!,done at the spa now meet vic for some late lunch
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,happi monday up and about go to tavar today hope everyon ha a bless day
 Always have wanted to go to Oz,alway have want to go to oz
 Thx,thx
 http://twitpic.com/4jaz5 - Cool... luv it,cool luv it
  that`s why I need to be there...To represent the Blackberries,that ` s whi i need to be thereto repres the blackberri
Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,okay so i ` m dedic my th tweet to the fact that i ` m go to the appl store becaus there is a huge crack on the glass screen
 If only we could ever actually be allowed to stay here and do that,if onli we could ever actual be allow to stay here and do that
 was that sass I detect?  As long as it isn`t back sass! Haha,wa that say i detect a long a it isn ` t back say haha
" yeah I was thinking about that ,ahaha",yeah i wa think about that haha
I`m not sleeping at all until  accepts my appology,i ` m not sleep at all until accept my apolog
"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",wolverin wa bos serious and william wa in it what the
" I live for pain, bring it on",i live for pain bring it on
  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,powerblog what is this powerblog challeng you keep talk about i ` m a newbi follow
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,almost die laptop screen wa set to bright after i instal window vista got a headach now insanedefault
Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,wait for fish to get off got to drive my mom cr to pick her up all my myself and duck first time
"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",tri to decid on a movi with the friend not go to well lol p no bibl studi site which mean day cake buy my own
"discovered cause of a bug in the new #NetPLAYER 4 build. Publishing bug fix now, hopefully new beta by tomorrow",discov caus of a bug in the new netplay build publish bug fix now hope new beta by tomorrow
Here are 4 FREE twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/,here are free twitter tool will get you follow
just got home from work.... and is chugging down a big bottle of apple juice.,just got home from work and is chang down a big bottl of appl juic
 Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,yes it doe pleas dont ` go if you die i will cri which normal lead to small anim get harm
writing report cards  soooo tired but what an amazing day. check it out on fb soon!,write report card soon tire but what an amaz day check it out on fb soon
good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn,good news final finish my yearsact workout that ha been paus for hour bad news my resist band is torn
"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",well good morn all what a wonder day in the neighborhood thank for all those that are now follow anoth this morn
FTSK and Mercy Mercedes were amazing tonight.. as always,ft and merci merced were amaz tonight a alway
  hope he is ok!,hope he is ok
can`t school just be done already? it hurts too much... seeing him every day,can ` t school just be done alreadi it hurt too much see him everi day
"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",i wait listen to wind blow through the tumblewe are none of you old enough to know what to do when someon say crackerack
 Hell Yeah!,hell yeah
 i know!!,i know
"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",went to a parti last night didn and i show up in match outfit great mind think alik anyway happi birthday ate lara
" Happy b-day! Just woke up on this side of Earth, so wishes are bit late",happi bday just woke up on this side of earth so wish are bit late
"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",thank you for teach me valu and to be a better person each day i love so much you ` re the best mum in the world
" *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",laugh i ` m glad that you have self confid it ` s a wonder trait to have i ` ll applaud extra loud for it okay
  Thanks,thank
Getting ready for week  Its too nice today to be stuck inside working!,get readi for week it too nice today to be stuck insid work
I am tres depressed,i am tres depress
"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",felt like behav like my son ate to compens rig out on homeroast sugar almond pain tum threw up still feel sick
Happy Mothers Day people. i love my mom a lot still,happi mother day peopl i love my mom a lot still
 I`m sorry to hear that.,i ` m sorri to hear that
" That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",that ` s awesom dude yay for surpris celebr i got to meet him a few year ago he wa soon friend
" it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",it make me happi to hear a girl talk or tweet about the nba but could you give my nugget some love
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,you know your neck is back up when you are forc to pay for park bc you can ` t turn you head to parallel park in the free space
Going to miss my roomie ... We will no longer be roomies starting tomorrow,go to miss my rooki we will no longer be rooki start tomorrow
"bathing with two little angels, Keyla and Janice.",bath with two littl angel key and danc
" Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",yep finish check full of spell and grammat error but i ` m clean it up tomorrow and pop it up here
 HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,hahahha lol true that i alway rememb my bd but i can never rememb what date or even day it is
"Family is here,hanging with them",famili is herehang with them
Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,watch ellen love her then do the dish and tan it ` s gorgeous out
 what`s goin on hun?  I`m worried about you,what ` s go on hun i ` m worri about you
 Im not bannished... but I am at work till 6,im not banish but i am at work till
" Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",morn if i get to see it i ` ll let you know right now i ` m go to go see wolverin
" red top tabloids, build em up, knock em down",red top tabloid build em up knock em down
tonight in party w/ my girls (minus vita),tonight in parti w my girl minus vita
  why not now you made me sad I thought you`d be jumping for joy,whi not now you made me sad i thought you ` d be jump for joy
 Simple my a#@,simpl my a
" I saw the play of it here, it was amazing",i saw the play of it here it wa amaz
 _ i am glad to break my twitter virginity with you two.,i am glad to break my twitter virgin with you two
Dinner with the fam... I have missed them,dinner with the fam i have miss them
"_Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn.",live that ` s what i want more the better bound to be a few bad egg though but they will soon learn
" I know   It was worth a shot, though!",i know it wa worth a shot though
"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",just open a facebook account i ` m a littl confus i don ` t realli get it twitter seem much better
Ship. I`m stuck.,ship i ` m stuck
DUSTBIN BABY ON AT 11.30 Cannot wait  x,justin babi on at can not wait x
" Not going to dwell on it. It happened, it`s passed. Just a shame as he was so supportive! Such is life!  x",not go to dwell on it it happen it ` s pass just a shame a he wa so support such is life x
,
Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.,home empti hand no comic found today i shall now indulg in my cupcak from mongolia bakeri
Laying in bed til workkk... Oh the life. Definitely pinched a nerve.,lay in bed til work oh the life definit pitch a nerv
today is a busy day. exhausting!,today is a busi day exhaust
 Sorry to hear ur flight got cancelled  that blows!!!,sorri to hear ur flight got cancel that blow
ohh my tooth is hurts ohh  im sad it very hurts,oh my tooth is hurt oh im sad it veri hurt
 u think u have bills Ha!Ii just finished paying mine that`s y I`m broke,u think u have bill hair just finish pay mine that ` s y i ` m broke
 Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!,not sure it didn ` t say it wa big i st saw the pic of u on ur last bday you look so pretti i miss you
mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,fli gig last night omg it wa amazon didnt sit down through the whole thing fli did you see me and ma best mate we were in status
2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing,day without sleep and now a migrain i thought life post wa meant to be relax
 There!,there
?sucks!?..,suck
 whens the sway sway winner announced?,when the sway sway winner announc
 K will check it out...,k will check it out
I Miss Daddy and Mommy,i miss daddi and tommi
"My dog is officially depressed that my brother`s dogs are gone. He doesn`t want to go outside and when we did, he play half-heartedly.",my dog is offici depress that my brother ` s dog are gone he doesn ` t want to go outsid and when we did he play halfheart
I just realized that I can`t forward text msgs with my iPhone.,i just realiz that i can ` t forward text msg with my iphon
"My frist post... Off to find a new car for my parents, exciting!",my first post off to find a new car for my parent excit
Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!,arch not miss the killer on loss that suck miss out on brandon total failur anyon know if it ` s repeat must investig
seriously bored without anyone to talk to... but not tired enough for sleep,serious bore without anyon to talk to but not tire enough for sleep
 I am lost. Please help me find a good home.,i am lost pleas help me find a good home
"It`s a Peter & Gordon morning  -> And I, go to pieces and I wanna hide / Go to pieces and I almost die / Ever... ? http://blip.fm/~5yk38",it ` s a peter gordon morn and i go to piec and i wan na hide go to piec and i almost die ever
Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,ok so i ` ve now got a bit of a bad back after lift all drum hardwar into my car owner
 LMAO... Smh!  that one threw me off.,lmaz smh that one threw me off
 oh nice going!,oh nice go
Gonna celebrate Mothers Day with the family but gonna start the partying tonite,gon na celebr mother day with the famili but gon na start the parti tone
 i agree with you!,i agre with you
 I only do computers. Am hopeless at everything else,i onli do comput am hopeless at everyth els
"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",degre gross sky and thunderstormsperfect match for my mood lol
_2nd aww thanks!,nd www thank
 Sorry RB is on PS3 for me,sorri rb is on p for me
I saw amazing heeels. But they were too big,i saw amaz heel but they were too big
